Position,Player,Team,Seasons,GP,Goals,Assists,Points,PIM
#95,Linus Söderström (G),New York Islanders,,,,,,
#96,Josh Wesley (D),Carolina Hurricanes,,,,,,
#97,Lucas Wallmark (F),Carolina Hurricanes,5,187,23,36,59,64
#98,Fredrik Olofsson (F),Chicago Blackhawks,2,85,4,9,13,10
#99,Chase De Leo (F),Winnipeg Jets,5,7,0,0,0,0
#100,Shane Eiserman (F),Ottawa Senators,,,,,,
#101,Nelson Nogier (D),Winnipeg Jets,2,11,0,0,0,5
#102,Alexis Vanier (D),San Jose Sharks,,,,,,
#103,J.J. Piccinich (F),Toronto Maple Leafs,,,,,,
#104,Ryan Mantha (D),New York Rangers,,,,,,
#105,Michael Prapavessis (D),Dallas Stars,,,,,,
#106,Christoffer Ehn (F),Detroit Red Wings,2,114,5,8,13,8
#107,Julien Pelletier (F),Columbus Blue Jackets,,,,,,
#108,Devon Toews (D),New York Islanders,7,473,62,216,278,126
#109,Kaapo Kähkönen (G),Minnesota Wild,7,140,-,-,-,-
#110,Austin Poganski (F),St. Louis Blues,3,22,0,0,0,7
#111,Zach Nagelvoort (G),Edmonton Oilers,,,,,,
#112,Viktor Arvidsson (F),Nashville Predators,11,611,194,195,389,252
#113,Sam Lafferty (F),Pittsburgh Penguins,6,347,40,50,90,178
#114,Alexis Pépin (F),Colorado Avalanche,,,,,,
#115,Brent Moran (G),Dallas Stars,,,,,,
#116,Danton Heinen (F),Boston Bruins,9,565,95,145,240,131
#117,Michael Bunting (F),Arizona Coyotes,6,342,94,124,218,322
#118,Igor Shestyorkin (G),New York Rangers,6,273,-,-,-,-
#119,Ben Thomas (D),Tampa Bay Lightning,1,5,0,0,0,0
#120,Steven Johnson (D),Los Angeles Kings,,,,,,
#121,Max Willman (F),Buffalo Sabres,3,68,7,3,10,22
#122,Richard Nejezchleb (F),New York Rangers,,,,,,
#123,Matthew Berkovitz (D),Anaheim Ducks,,,,,,
#124,Jaedon Descheneau (F),St. Louis Blues,,,,,,
#125,Nikolas Koberstein (D),Montréal Canadiens,,,,,,
#126,Gustav Forsling (D),Vancouver Canucks,8,476,57,134,191,165
#127,Clark Bishop (F),Carolina Hurricanes,5,53,2,7,9,20
#128,Dakota Joshua (F),Toronto Maple Leafs,5,239,40,38,78,181
#129,C.J. Suess (F),Winnipeg Jets,3,5,0,0,0,4
#130,Liam Coughlin (F),Edmonton Oilers,,,,,,
#131,Ryan Rehill (D),New Jersey Devils,,,,,,
#132,Joonas Lyytinen (D),Nashville Predators,,,,,,
#133,Dysin Mayo (D),Arizona Coyotes,2,82,4,8,12,35
#134,Shane Gersich (F),Washington Capitals,1,3,0,1,1,0
#135,Miro Karjalainen (D),Dallas Stars,,,,,,
#136,Chase Perry (G),Detroit Red Wings,,,,,,
#137,Tyler Bird (F),Columbus Blue Jackets,,,,,,
#138,Oskar Lindblom (F),Philadelphia Flyers,7,337,56,56,112,81
#139,Tanner Faith (D),Minnesota Wild,,,,,,
#140,Daniel Walcott (F),New York Rangers,1,1,0,0,0,5
#141,Luc Snuggerud (D),Chicago Blackhawks,,,,,,
#142,Tyler Nanne (D),New York Rangers,,,,,,
#143,Miguel Fidler (F),Florida Panthers,,,,,,
#144,Anton Lindholm (D),Colorado Avalanche,4,66,0,5,5,16
#145,Anthony Angello (F),Pittsburgh Penguins,3,31,3,2,5,14
#146,Anders Bjork (F),Boston Bruins,6,225,26,35,61,44
#147,Daniel Audette (F),Montréal Canadiens,,,,,,
#148,Andreas Söderberg (D),Chicago Blackhawks,,,,,,
#149,Rourke Chartier (F),San Jose Sharks,3,56,3,1,4,16
#150,Alec Dillon (G),Los Angeles Kings,,,,,,
#151,Christopher Brown (F),Buffalo Sabres,,,,,,
#152,J.D. Dudek (F),New Jersey Devils,,,,,,
#153,Tyler Vesel (F),Edmonton Oilers,,,,,,
#154,Aaron Haydon (D),Dallas Stars,,,,,,
#155,Kyle Schempp (F),New York Islanders,,,,,,
#156,Kyle Pettit (F),Vancouver Canucks,,,,,,
#157,Jake Marchment (F),Los Angeles Kings,,,,,,
#158,Nolan Vesey (F),Toronto Maple Leafs,,,,,,
#159,Steven Spinner (F),Washington Capitals,,,,,,
#160,Pontus Själin (D),Minnesota Wild,,,,,,
#161,Brandon Baddock (F),New Jersey Devils,1,1,0,0,0,0
#162,Aaron Irving (D),Nashville Predators,,,,,,
#163,David Westlund (D),Arizona Coyotes,,,,,,
#164,Pavel Kraskovsky (F),Winnipeg Jets,,,,,,
#165,John Nyberg (D),Dallas Stars,,,,,,
#166,Julius Vähätalo (F),Detroit Red Wings,,,,,,
#167,Chase Lang (F),Minnesota Wild,,,,,,
#168,Radel Fazleyev (F),Philadelphia Flyers,,,,,,
#169,Reid Duke (F),Minnesota Wild,,,,,,
#170,Cristiano DiGiacinto (F),Tampa Bay Lightning,,,,,,
#171,Kevin Labanc (F),San Jose Sharks,9,512,84,153,237,229
#172,C.J. Yakimowicz (F),St. Louis Blues,,,,,,
#173,Jaden Lindo (F),Pittsburgh Penguins,,,,,,
#174,Maximilian Pajpach (G),Colorado Avalanche,,,,,,
#175,Adam Ollas Mattsson (D),Calgary Flames,,,,,,
#176,Sammy Blais (F),St. Louis Blues,7,257,27,44,71,122
#177,Hayden Hawkey (G),Montréal Canadiens,,,,,,
#178,Dylan Sikura (F),Chicago Blackhawks,5,58,3,14,17,0
#179,Ivan Nalimov (G),Chicago Blackhawks,,,,,,
#180,Matt Mistele (F),Los Angeles Kings,,,,,,
#181,Victor Olofsson (F),Buffalo Sabres,7,368,104,105,209,44
#182,Hugo Fagerblom (G),Florida Panthers,,,,,,
#183,Keven Bouchard (G),Edmonton Oilers,,,,,,
#184,Austin Carroll (F),Calgary Flames,,,,,,
#185,Cam Darcy (F),Tampa Bay Lightning,,,,,,
#186,Mackenze Stewart (D),Vancouver Canucks,,,,,,
#187,Kyle Jenkins (D),Carolina Hurricanes,,,,,,
#188,Pierre Engvall (F),Toronto Maple Leafs,6,378,65,70,135,117
#189,Kelly Summers (D),Ottawa Senators,,,,,,
#190,Francis Perron (F),Ottawa Senators,,,,,,
#191,Jared Fiegl (F),Arizona Coyotes,,,,,,
#192,Matt Ustaski (F),Winnipeg Jets,,,,,,
#193,Edgars Kulda (F),Arizona Coyotes,,,,,,
#194,Kevin Elgestål (F),Washington Capitals,,,,,,
#195,Patrick Sanvido (D),Dallas Stars,,,,,,
#196,Axel Holmström (F),Detroit Red Wings,,,,,,
#197,Olivier LeBlanc (D),Columbus Blue Jackets,,,,,,
#198,Jesper Pettersson (D),Philadelphia Flyers,,,,,,
#199,Pavel Jenys (F),Minnesota Wild,,,,,,
#200,Lukas Sutter (F),New York Islanders,,,,,,
#201,Alexander Kadeikin (F),Detroit Red Wings,,,,,,
#202,Dwyer Tschantz (F),St. Louis Blues,,,,,,
#203,Jeff Taylor (D),Pittsburgh Penguins,,,,,,
#204,Julien Nantel (F),Colorado Avalanche,,,,,,
#205,Ondrej Kase (F),Anaheim Ducks,7,258,57,67,124,62
#206,Emil Johansson (D),Boston Bruins,,,,,,
#207,Jake Evans (F),Montréal Canadiens,6,348,39,88,127,113
#208,Jack Ramsey (D),Chicago Blackhawks,,,,,,
#209,Spencer Watson (F),Los Angeles Kings,,,,,,
#210,Jacob Middleton (D),Los Angeles Kings,7,305,22,55,77,284
